Injection	1	p	450	2.2	2748	2.5	6	6	-2	0	0	295	10	10	2	0	4.54	1259	6	6	0	2	295	0	10	10	0	-3.5	-2270	-68.15	62.28	60.31	2.0	2.0
	2	p	450	2.2	2748	2.5	6	6	2	0	0	-295	10	10	-2	0	-4.54	-1259	6	6	0	-2	-295	0	10	10	0	3.5	2270	-11.85	62.28	60.31	2.0	2.0
Presqueeze	1	p	7000	2.2	2748	2.5	0.480	0.480	-2	0	0	295	10	10	2	0	0.290	240	0.480	0.480	0	2	295	0	3	3	0	-2	-415	-1.81	62.31	60.32	2.0	2.0
	2	p	7000	2.2	2748	2.5	0.480	0.480	2	0	0	-295	10	10	-2	0	-0.290	-240	0.480	0.480	0	-2	-295	0	3	3	0	2	415	1.81	62.31	60.32	2.0	2.0
Collision Round	1	p	7000	2.2	2748	2.5	0.150	0.150	-0.750	0	0	295	10	10	2	0	0.290	240	0.150	0.150	0	0.750	295	0	3	3	0	-2	-415	-1.81	62.31	60.32	1.0	2.0
	2	p	7000	2.2	2748	2.5	0.150	0.150	0.750	0	0	-295	10	10	-2	0	-0.290	-240	0.150	0.150	0	-0.750	-295	0	3	3	0	2	415	1.81	62.31	60.32	2.0	2.0
Collision Flat	1	p	7000	2.2	2748	2.5	0.075	0.300	-0.750	0	0	275	10	10	2	0	0.290	240	0.300	0.075	0	0.750	275	0	3	3	0	-2	-415	-1.81	62.309	60.319	1.0	1.0
	2	p	7000	2.2	2748	2.5	0.075	0.300	0.750	0	0	-275	10	10	-2	0	-0.290	-240	0.300	0.075	0	-0.750	-275	0	3	3	0	2	415	1.81	62.309	60.319	2.0	2.0
VDM 30m	1	p	7000	2.2	2748	2.5	30	30	-0.750	0	0	295	30	30	2	0	0.300	240	30	30	-0.750	0.750	295	295	30	30	0	-2	-305	-1.8	62.31	60.32	2.0	2.0
	2	p	7000	2.2	2748	2.5	30	30	0.750	0	0	-295	30	30	-2	0	-0.290	-240	30	30	0.750	-0.750	-295	-295	30	30	0	2	305	1.8	62.31	60.32	2.0	2.0
Low-beta	1	p	7000	2.2	2748	2.5	0.480	0.480	-2	0	0	295	0.500	0.500	2	0	0.290	240	0.480	0.480	0	2	295	0	0.500	0.500	0	-2	-305	-1.81	62.31	60.32	2.0	2.0
	2	p	7000	2.2	2748	2.5	0.480	0.480	2	0	0	-295	0.500	0.500	-2	0	-0.290	-240	0.480	0.480	0	-2	-295	0	0.500	0.500	0	2	305	1.81	62.31	60.32	2.0	2.0
